물고기	물꼬기
불고기	불고기
여덟째	여덜째
숟가락	숟까락
젓가락	젇까락
닦다	닥따
키읔	키윽
키읔과	키윽꽈
옷	옫
웃다	욷따
있다	읻따
젖	젇
빚다	빋따
꽃	꼳
쫓다	쫃따
솥	솓
뱉다	밷따
앞	압
덮다	덥따
박	박
밖	박
부엌	부억
꺾다	꺽따
닦다	닥따
낫	낟
낮	낟
낯	낟
낫다	낟따
낮다	낟따
있었다	이썯따
낱	낟
밭	받
받다	받따
맡다	맏따
뱉다	밷따
집	집
짚	집
집다	집따
곱다	곱따
짚다	집따
넋	넉
넋과	넉꽈
앉다	안따
여덟	여덜
넓다	널따
외곬	외골
핥다	할따
값	갑
없다	업따
밟는	밤는
넓죽하다	넙쭈카다
넓둥글다	넙뚱글다
몫	목
몫도	목또
몫까지	목까지
얹다	언따
얹지	언찌
얹고	언꼬
얇다	얄따
얇지	얄찌
얇고	얄꼬
훑다	훌따
훑지	훌찌
훑고	훌꼬
닭	닥
흙과	흑꽈
맑다	막따
늙지	늑찌
삶	삼
젊다	점따
읊고	읍꼬
읊다	읍따
맑게	말께
묽고	물꼬
얽거나	얼꺼나
칡	칙
칡도	칙또
칡까지	칙까지
앎	암
앎도	암도
앎과	암과
닮다	담따
닮지	담찌
닮고	담꼬
읊다	읍따
읊지	읍찌
읊고	읍꼬
맑지	막찌
맑습니다	막씀니다
늙다	늑따
늙습니다	늑씀니다
맑고	말꼬
맑거나	말꺼나
늙게	늘께
늙고	늘꼬
늙거나	늘꺼나
놓고	노코
좋던	조턴
쌓지	싸치
많고	만코
않던	안턴
닳지	달치
각하	가카
먹히다	머키다
밝히다	발키다
맏형	마텽
좁히다	조피다
넓히다	널피다
꽂히다	꼬치다
앉히다	안치다
옷 한 벌	오탄벌
낮 한때	나탄때
꽃 한 송이	꼬탄송이
숱하다	수타다
닿소	다쏘
많소	만쏘
싫소	실쏘
놓는	논는
쌓네	싼네
않네	안네
않는	안는
뚫네	뚤레
뚫는	뚤른
낳은	나은
놓아	노아
쌓이다	싸이다
많아	마나
않은	아는
닳아	다라
싫어도	시러도
놓고	노코
놓던	노턴
놓지	노치
많고	만코
